id;nome;casa;assessores;folha_mensal;custo_ano_total;base
br-p-cd-160674;Hugo Motta;camara;21;158396,46;2041501,74;estimativa
br-p-cd-178937;Altineu Côrtes;camara;16;146047,28;1788997,19;estimativa
br-p-cd-178854;Elmar Nascimento;camara;16;145521,92;1843120,37;estimativa
br-p-cd-204426;Carlos Veras;camara;22;120562,87;1908753,57;estimativa
br-p-cd-220669;Lula da Fonte;camara;23;165292,29;2220987,27;estimativa
br-p-cd-220561;Delegada Katarina;camara;25;165678,71;2205011,96;estimativa
br-p-cd-178933;Sergio Souza;camara;12;154912,32;2022743,63;estimativa
br-p-sf-3830;Davi Alcolumbre;senado;24;0;647067,61;real (último mês)
br-p-sf-3777;Eduardo Gomes;senado;84;0;624154,25;real (último mês)
br-p-sf-5008;Humberto Costa;senado;35;0;994718,10;real (último mês)
br-p-sf-5998;Daniella Ribeiro;senado;38;0;840609,25;real (último mês)
br-p-sf-475;Confúcio Moura;senado;38;0;649623,55;real (último mês)
br-p-sf-4811;Laércio Oliveira;senado;37;0;1062137,33;real (último mês)
br-p-cd-92102;Leur Lomanto Júnior;camara;24;160536,55;2087639,25;estimativa
br-p-cd-141531;Rodrigo de Castro;camara;23;132511,30;1795607,83;estimativa
br-p-cd-66385;Julio Arcoverde;camara;22;158817,92;2041829,82;estimativa
br-p-cd-209787;Nikolas Ferreira;camara;10;117297,08;1648124,89;estimativa
br-p-cd-178860;Paulo Azi;camara;24;165665,40;2083243,96;estimativa
br-p-cd-204572;Capitão Alberto Neto;camara;17;145920,26;1772188,30;estimativa
br-p-cd-74075;Elcione Barbalho;camara;14;164993,04;1929848,91;estimativa
br-p-cd-74574;Paulo Magalhães;camara;25;165685,18;2138283,35;estimativa
br-p-cd-160666;Félix Mendonça Júnior;camara;24;157044,99;2079413,69;estimativa
br-p-cd-143632;Domingos Neto;camara;24;158247,81;2073763,39;estimativa
br-p-cd-160527;Aguinaldo Ribeiro;camara;20;162739,91;2049873,31;estimativa
br-p-cd-178972;Alex Manente;camara;20;165297,79;1964929,33;estimativa
br-p-cd-178881;Aluisio Mendes;camara;17;148701,46;1897727,62;estimativa
br-p-cd-139285;Lídice da Mata;camara;22;160926,36;2117762,96;estimativa
br-p-cd-91228;Waldemar Oliveira;camara;25;165762,90;2109724,30;estimativa
br-p-cd-220588;Roberto Duarte;camara;22;139757,15;1920088,71;estimativa
br-p-cd-220599;Marcelo Crivella;camara;22;165794,69;2145035,80;estimativa
br-p-cd-220543;Ricardo Ayres;camara;25;165778,92;2079990,28;estimativa
br-p-cd-74160;Patrus Ananias;camara;18;141358,63;1925026,47;estimativa
br-p-cd-74041;Luiz Couto;camara;21;165723,38;2166700,11;estimativa
br-p-cd-74398;Maria do Rosário;camara;19;158395,69;2155620,32;estimativa
br-p-cd-178987;Orlando Silva;camara;24;165741,55;2149930,33;estimativa
br-p-cd-178908;Delegado Éder Mauro;camara;20;165645,63;2061116,83;estimativa
br-p-cd-178887;Rubens Pereira Júnior;camara;20;146611,86;1924181,61;estimativa
br-p-cd-73801;Renildo Calheiros;camara;23;152685,97;2022567,23;estimativa
br-p-cd-204374;Bia Kicis;camara;18;144530,29;1954736,47;estimativa
br-p-cd-204460;Carlos Jordy;camara;23;165731,00;2154500,58;estimativa
br-p-cd-178873;Helder Salomão;camara;24;165551,93;2093860,90;estimativa
br-p-cd-220555;Daiana Santos;camara;15;149723,81;1931364,33;estimativa
br-p-cd-153423;Renilce Nicodemos;camara;25;165499,37;2175080,37;estimativa
br-p-cd-220558;Zé Trovão;camara;22;165786,95;2150759,23;estimativa
br-p-cd-160601;Pr. Marco Feliciano;camara;9;165801,28;2161763,99;estimativa
br-p-cd-74454;Eunício Oliveira;camara;19;165773,97;2322872,15;estimativa
br-p-cd-178835;Afonso Motta;camara;25;164112,43;2149321,04;estimativa
br-p-cd-160600;Arthur Oliveira Maia;camara;17;164502,11;2186366,38;estimativa
br-p-cd-204472;José Medeiros;camara;24;152083,99;2006856,11;estimativa
br-p-cd-178934;Toninho Wandscheer;camara;25;165638,29;2157374,03;estimativa
br-p-cd-220546;Rodolfo Nogueira;camara;23;157904,37;2168186,46;estimativa
br-p-cd-160758;Domingos Sávio;camara;24;160005,77;2069633,91;estimativa
br-p-cd-204535;Sâmia Bomfim;camara;20;165051,43;2032317,72;estimativa
br-p-cd-204501;Alencar Santana;camara;25;165676,46;2096046,04;estimativa
br-p-cd-204379;Acácio Favacho;camara;24;165567,64;2148349,92;estimativa
br-p-cd-74554;José Rocha;camara;15;163164,67;2030575,60;estimativa
br-p-cd-220590;Coronel Ulysses;camara;25;165460,95;2142334,03;estimativa
br-p-cd-204398;Felipe Francischini;camara;22;149134,76;2049279,23;estimativa
br-p-cd-141488;Paulo Teixeira;camara;21;157458,84;1877690,75;estimativa
br-p-cd-178905;Fabio Garcia;camara;18;150814,66;1854892,17;estimativa
br-p-cd-204404;Lucas Redecker;camara;14;155724,28;2003528,77;estimativa
br-p-cd-220684;Tião Medeiros;camara;11;141375,20;1958026,53;estimativa
br-p-cd-178943;Marcos Soares;camara;25;165399,32;2004716,57;estimativa
br-p-cd-204355;da Vitoria;camara;23;162005,60;2077547,36;estimativa
br-p-cd-220637;Marina Silva;camara;9;165109,82;1881562,42;estimativa
br-p-cd-66828;Fausto Pinato;camara;25;165481,69;2229270,96;estimativa
br-p-cd-204474;Juarez Costa;camara;25;165278,90;2122766,14;estimativa
br-p-cd-220539;Defensor Stélio Dener;camara;24;157251,36;1961196,87;estimativa
br-p-cd-157130;Túlio Gadêlha;camara;20;132648,01;1881403,77;estimativa
br-p-cd-220576;Alfredo Gaspar;camara;18;135444,65;1744362,19;estimativa
br-p-cd-220594;Coronel Assis;camara;20;165490,48;2016381,31;estimativa
br-p-cd-220585;Mersinho Lucena;camara;14;165794,06;2078600,79;estimativa
br-p-cd-220648;Marangoni;camara;25;165630,68;2095939,21;estimativa
br-p-cd-204566;Marreca Filho;camara;21;160356,44;1899371,07;estimativa
br-p-cd-72442;Felipe Carreras;camara;14;157489,92;2079433,79;estimativa
br-p-cd-178963;Covatti Filho;camara;17;123617,47;1614327,93;estimativa
br-p-cd-220547;Marcos Pollon;camara;20;149295,17;1907748,89;estimativa
br-p-cd-141485;Luiz Carlos Busato;camara;24;164991,00;2236496,02;estimativa
br-p-cd-220573;Dorinaldo Malafaia;camara;23;148111,33;1920798,09;estimativa
br-p-cd-220569;Silvye Alves;camara;10;162216,02;2056749,96;estimativa
br-p-cd-220583;Delegado Fabio Costa;camara;22;153991,67;2024470,30;estimativa
br-p-cd-204367;Daniel Freitas;camara;20;155052,58;2024086,05;estimativa
br-p-cd-204427;Fernando Rodolfo;camara;19;142381,84;1792836,93;estimativa
br-p-cd-204531;Guilherme Derrite;camara;6;121389,62;1602393,81;estimativa
br-p-cd-220626;Rafael Simoes;camara;22;152053,27;2050144,23;estimativa
br-p-cd-73768;Dilceu Sperafico;camara;24;158372,63;2085610,28;estimativa
br-p-cd-74856;Laura Carneiro;camara;23;165794,81;2171173,72;estimativa
br-p-cd-160512;Aureo Ribeiro;camara;25;134921,37;1700491,88;estimativa
br-p-cd-204494;Fred Costa;camara;23;161363,59;2050765,39;estimativa
br-p-cd-220658;Luiz Gastão;camara;13;155224,05;1992230,69;estimativa
br-p-cd-220703;Neto Carletto;camara;25;165708,12;2122766,47;estimativa
br-p-cd-220586;Rafael Brito;camara;16;152310,52;1983580,32;estimativa
br-p-cd-220618;Sargento Portugal;camara;22;158196,35;2013101,89;estimativa
br-p-cd-74262;Carlos Sampaio;camara;16;136514,97;1758361,20;estimativa
br-p-cd-74057;Alice Portugal;camara;21;165286,77;2131783,07;estimativa
br-p-cd-141450;Hugo Leal;camara;22;141327,65;1903749,38;estimativa
br-p-cd-160575;Erika Kokay;camara;23;165614,78;2064799,62;estimativa
br-p-cd-178986;Nilto Tatto;camara;25;165738,98;2118162,62;estimativa
br-p-cd-204462;Chris Tonietto;camara;15;136476,14;1744788,58;estimativa
br-p-cd-191923;Flávio Nogueira;camara;23;158355,04;2214000,92;estimativa
br-p-cd-220556;Ana Paula Lima;camara;23;150295,46;2014777,02;estimativa
br-p-cd-220595;Coronel Fernanda;camara;24;155646,14;1959236,19;estimativa
br-p-cd-162067;Kiko Celeguim;camara;24;156396,73;2095806,30;estimativa
br-p-cd-220654;Delegado Paulo Bilynskyj;camara;12;147278,70;1984359,15;estimativa
br-p-cd-141516;Paulo Abi-Ackel;camara;15;137378,12;1888085,69;estimativa
br-p-cd-204506;Marcos Pereira;camara;15;160466,19;2016047,17;estimativa
br-p-cd-178829;Capitão Augusto;camara;23;139803,22;1904971,02;estimativa
br-p-cd-204534;Tabata Amaral;camara;7;81885,16;1456611,71;estimativa
br-p-cd-220532;Rafael Prudente;camara;22;155350,06;2013570,60;estimativa
br-p-cd-171786;Miguel Ângelo;camara;25;165458,21;2079757,53;estimativa
br-p-cd-204372;Julio Cesar Ribeiro;camara;21;140077,33;1791618,96;estimativa
br-p-cd-220559;Julia Zanatta;camara;21;130226,46;1812736,76;estimativa
br-p-cd-74161;Reginaldo Lopes;camara;23;143999,17;1796391,06;estimativa
br-p-cd-221338;Professora Luciene Cavalcante;camara;12;153553,10;1935527,55;estimativa
br-p-cd-204369;Caroline de Toni;camara;11;98814,33;1395798,50;estimativa
br-p-cd-74858;Lindbergh Farias;camara;15;165637,72;1929769,38;estimativa
br-p-cd-220609;Maurício Carvalho;camara;16;147818,62;2035579,95;estimativa
br-p-cd-204479;Nicoletti;camara;19;111860,43;1668114,54;estimativa
br-p-cd-141408;Cleber Verde;camara;24;152728,77;1995408,70;estimativa
br-p-cd-204360;Silvia Cristina;camara;20;165761,90;2132593,21;estimativa
br-p-cd-62881;Danilo Forte;camara;23;143311,62;1965042,92;estimativa
br-p-cd-220597;Thiago Flores;camara;25;165419,00;2114757,51;estimativa
br-p-cd-220649;Delegado da Cunha;camara;17;164790,36;2152065,17;estimativa
br-p-cd-178946;Soraya Santos;camara;16;152747,97;1819838,34;estimativa
br-p-cd-178929;Diego Garcia;camara;15;133476,14;1982114,94;estimativa
br-p-cd-204436;Isnaldo Bulhões Jr.;camara;21;163876,00;1927569,48;estimativa
br-p-cd-220691;Diego Coronel;camara;19;134718,41;1864974,11;estimativa
br-p-cd-204485;Luiz Carlos Motta;camara;21;146397,41;1861775,84;estimativa
br-p-cd-98057;Lafayette de Andrada;camara;23;152685,87;2073886,22;estimativa
br-p-cd-204395;Pedro Lupion;camara;12;165715,45;1963525,86;estimativa
br-p-cd-204557;Sidney Leite;camara;17;135647,87;1923542,66;estimativa
br-p-cd-220685;Paulo Litro;camara;17;165793,25;2087623,92;estimativa
br-p-cd-123086;Átila Lira;camara;23;162927,02;2081218,27;estimativa
br-p-cd-220668;Maria Arraes;camara;23;163470,12;2136169,68;estimativa
br-p-cd-204481;Dr. Jaziel;camara;24;163481,32;2012048,34;estimativa
br-p-cd-204541;Eduardo Bismarck;camara;18;165083,69;2010219,98;estimativa
br-p-cd-220686;Duarte Jr.;camara;16;160308,79;1981991,52;estimativa
br-p-cd-204464;Talíria Petrone;camara;16;152736,04;1903265,70;estimativa
br-p-cd-178947;Sóstenes Cavalcante;camara;25;148405,19;1868408,75;estimativa
br-p-cd-204512;Delegado Marcelo Freitas;camara;25;165571,75;2230807,72;estimativa
br-p-cd-220529;Gilson Daniel;camara;21;133070,42;1808886,84;estimativa
br-p-cd-73486;Pompeo de Mattos;camara;23;157230,20;2126879,18;estimativa
br-p-cd-188097;Merlong Solano;camara;24;158401,87;2167153,36;estimativa
br-p-cd-204492;Paulo Guedes;camara;24;165356,50;2063007,47;estimativa
br-p-cd-204396;Vermelho;camara;25;164536,33;2111281,32;estimativa
