from;to;tipo;cite
br-camara-dos-deputados;br-congresso-nacional;integra;CF/88 arts. 45, 51
br-senado-federal;br-congresso-nacional;integra;CF/88 arts. 46, 52
br-casa-civil;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 3º
br-secretaria-geral-da-presidencia;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 4º
br-secretaria-de-relacoes-institucionais;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 5º
br-secretaria-de-comunicacao-social;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 6º
br-gabinete-de-seguranca-institucional;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 8º
br-agencia-brasileira-de-inteligencia;br-gabinete-de-seguranca-institucional;integra;Lei 9.883/1999
br-controladoria-geral-da-uniao;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 9º e arts. 46-47
br-conselho-da-republica;br-presidencia-da-republica;integra;"CF/88 arts. 89-90; Lei 8.041/1990"
br-conselho-de-defesa-nacional;br-presidencia-da-republica;integra;"CF/88 art. 91; Lei 8.183/1991"
br-conselho-de-desenvolvimento-economico-social-sustentavel;br-secretaria-geral-da-presidencia;integra;"Lei 14.600/2023 art. 2º; Decreto 11.372/2023"
br-conselho-de-governo;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 2º, §1º e art. 11
br-ministerio-da-agricultura-e-pecuaria;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-das-cidades;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-ciencia-tecnologia-e-inovacao;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-das-comunicacoes;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-cultura;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-defesa;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-desenvolvimento-agrario;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-desenvolvimento-social;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-dos-direitos-humanos-e-da-cidadania;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-educacao;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-empreendedorismo;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-esporte;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-fazenda;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-gestao;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-igualdade-racial;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-justica-e-seguranca-publica;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-meio-ambiente-e-mudanca-do-clima;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-de-minas-e-energia;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-das-mulheres;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-pesca-e-aquicultura;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-planejamento-e-orcamento;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-de-portos-e-aeroportos;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-dos-povos-indigenas;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-previdencia-social;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-das-relacoes-exteriores;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-da-saude;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-trabalho-e-emprego;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-dos-transportes;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-ministerio-do-turismo;br-presidencia-da-republica;integra;Lei 14.600/2023 art. 19
br-receita-federal-do-brasil;br-ministerio-da-fazenda;integra;Lei 11.457/2007 art. 2º
br-secretaria-do-tesouro-nacional;br-ministerio-da-fazenda;integra;"Decreto 92.452/1986; Lei 10.180/2001 arts. 5º-9º"
br-ministerio-da-fazenda;br-comissao-de-valores-mobiliarios;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.385/1976 arts. 5º e 6º"
br-ministerio-da-fazenda;br-superintendencia-de-seguros-privados;supervisiona;"DL 200/1967 arts. 19-20; Decreto-Lei 73/1966 art. 35"
br-ministerio-da-fazenda;br-banco-do-brasil;supervisiona;"DL 200/1967 arts. 19-20; Lei 4.595/1964 art. 19; Lei 13.303/2016"
br-ministerio-da-fazenda;br-caixa-economica-federal;supervisiona;"DL 200/1967 arts. 19-20; Decreto-Lei 759/1969"
br-ministerio-da-fazenda;br-casa-da-moeda-do-brasil;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.895/1973"
br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;br-bndes;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.662/1971; Lei 13.303/2016"
br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;br-instituto-nacional-da-propriedade-industrial;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.648/1970"
br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;br-inmetro;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.966/1973"
br-ministerio-de-minas-e-energia;br-aneel;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.427/1996; Lei 13.848/2019"
br-ministerio-de-minas-e-energia;br-anp;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.478/1997 arts. 7º-8º; Lei 13.848/2019"
br-ministerio-de-minas-e-energia;br-anm;supervisiona;"DL 200/1967 arts. 19-20; Lei 13.575/2017"
br-ministerio-de-minas-e-energia;br-petrobras;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.478/1997 arts. 61-62; Lei 13.303/2016"
br-ministerio-de-minas-e-energia;br-empresa-de-pesquisa-energetica;supervisiona;"DL 200/1967 arts. 19-20; Lei 10.847/2004"
br-ministerio-das-comunicacoes;br-anatel;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.472/1997 arts. 8º e 19"
br-ministerio-das-comunicacoes;br-correios;supervisiona;"DL 200/1967 arts. 19-20; Decreto-Lei 509/1969; Lei 6.538/1978"
br-ministerio-das-comunicacoes;br-telebras;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.792/1972; Decreto 7.175/2010"
br-secretaria-de-comunicacao-social;br-empresa-brasil-de-comunicacao;supervisiona;"DL 200/1967 arts. 19-20; Lei 11.652/2008"
br-ministerio-da-saude;br-anvisa;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.782/1999"
br-ministerio-da-saude;br-ans;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.961/2000"
br-ministerio-da-saude;br-fiocruz;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.019/1966; Decreto 4.725/2003"
br-ministerio-da-saude;br-funasa;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.029/1990 art. 14; Decreto 100/1991"
br-ministerio-da-educacao;br-inep;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.448/1997"
br-ministerio-da-educacao;br-fnde;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.537/1968; Decreto 9.007/2017"
br-ministerio-da-educacao;br-capes;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.405/1992"
br-ministerio-da-educacao;br-ebserh;supervisiona;"DL 200/1967 arts. 19-20; Lei 12.550/2011"
br-ministerio-da-ciencia-tecnologia-e-inovacao;br-cnpq;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.129/1974"
br-ministerio-da-ciencia-tecnologia-e-inovacao;br-finep;supervisiona;"DL 200/1967 arts. 19-20; Decreto 61.056/1967; Lei 11.540/2007"
br-inpe;br-ministerio-da-ciencia-tecnologia-e-inovacao;integra;Decreto 11.xxx/2023 (estrutura regimental do MCTI)
br-ministerio-da-ciencia-tecnologia-e-inovacao;br-agencia-espacial-brasileira;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.854/1994"
br-ministerio-da-ciencia-tecnologia-e-inovacao;br-cnen;supervisiona;"DL 200/1967 arts. 19-20; Lei 4.118/1962; Lei 14.222/2021"
br-policia-federal;br-ministerio-da-justica-e-seguranca-publica;integra;"CF/88 art. 144 §1º; Lei 9.266/1996"
br-policia-rodoviaria-federal;br-ministerio-da-justica-e-seguranca-publica;integra;CF/88 art. 144 §2º
br-ministerio-da-justica-e-seguranca-publica;br-cade;supervisiona;"DL 200/1967 arts. 19-20; Lei 12.529/2011 arts. 4º-6º"
br-presidencia-da-republica;br-anpd;supervisiona;"DL 200/1967 arts. 19-20; Lei 13.709/2018 arts. 55-A a 55-D (redação da Lei 14.460/2022)"
br-ministerio-do-meio-ambiente-e-mudanca-do-clima;br-ibama;supervisiona;"DL 200/1967 arts. 19-20; Lei 7.735/1989"
br-ministerio-do-meio-ambiente-e-mudanca-do-clima;br-icmbio;supervisiona;"DL 200/1967 arts. 19-20; Lei 11.516/2007"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-ana;supervisiona;"DL 200/1967 arts. 19-20; Lei 9.984/2000; Lei 14.026/2020"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-sudene;supervisiona;"DL 200/1967 arts. 19-20; LC 125/2007"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-sudam;supervisiona;"DL 200/1967 arts. 19-20; LC 124/2007"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-sudeco;supervisiona;"DL 200/1967 arts. 19-20; LC 129/2009"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-dnocs;supervisiona;"DL 200/1967 arts. 19-20; Lei 4.229/1963"
br-ministerio-da-integracao-e-do-desenvolvimento-regional;br-codevasf;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.088/1974"
br-ministerio-dos-transportes;br-antt;supervisiona;"DL 200/1967 arts. 19-20; Lei 10.233/2001 arts. 21-26"
br-ministerio-dos-transportes;br-dnit;supervisiona;"DL 200/1967 arts. 19-20; Lei 10.233/2001 arts. 79-83"
br-ministerio-dos-transportes;br-infra-sa;supervisiona;"DL 200/1967 arts. 19-20; Lei 11.772/2008; Decreto 11.204/2022"
br-ministerio-de-portos-e-aeroportos;br-antaq;supervisiona;"DL 200/1967 arts. 19-20; Lei 10.233/2001 arts. 21-27"
br-ministerio-de-portos-e-aeroportos;br-anac;supervisiona;"DL 200/1967 arts. 19-20; Lei 11.182/2005"
br-ministerio-de-portos-e-aeroportos;br-infraero;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.862/1972"
br-ministerio-da-agricultura-e-pecuaria;br-embrapa;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.851/1972"
br-ministerio-da-agricultura-e-pecuaria;br-conab;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.029/1990 art. 19"
br-ministerio-do-desenvolvimento-agrario;br-incra;supervisiona;"DL 200/1967 arts. 19-20; Decreto-Lei 1.110/1970"
br-ministerio-dos-povos-indigenas;br-funai;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.371/1967"
br-ministerio-da-previdencia-social;br-inss;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.029/1990 art. 17"
br-ministerio-da-previdencia-social;br-previc;supervisiona;"DL 200/1967 arts. 19-20; Lei 12.154/2009"
br-ministerio-do-planejamento-e-orcamento;br-ibge;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.878/1973"
br-ministerio-do-planejamento-e-orcamento;br-ipea;supervisiona;"DL 200/1967 arts. 19-20; Decreto 7.142/2010"
br-ministerio-da-gestao;br-enap;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.871/1980; Lei 8.140/1990"
br-ministerio-da-gestao;br-serpro;supervisiona;"DL 200/1967 arts. 19-20; Lei 4.516/1964; Lei 5.615/1970"
br-ministerio-da-gestao;br-dataprev;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.125/1974"
br-ministerio-da-cultura;br-iphan;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.113/1990"
br-ministerio-da-cultura;br-funarte;supervisiona;"DL 200/1967 arts. 19-20; Lei 6.312/1975"
br-ministerio-da-cultura;br-biblioteca-nacional;supervisiona;"DL 200/1967 arts. 19-20; Lei 8.029/1990 art. 22; Decreto 8.297/2014"
br-ministerio-da-cultura;br-ancine;supervisiona;"DL 200/1967 arts. 19-20; MP 2.228-1/2001"
br-ministerio-da-igualdade-racial;br-fundacao-cultural-palmares;supervisiona;"DL 200/1967 arts. 19-20; Lei 7.668/1988"
br-marinha-do-brasil;br-ministerio-da-defesa;integra;"CF/88 art. 142; LC 97/1999"
br-exercito-brasileiro;br-ministerio-da-defesa;integra;"CF/88 art. 142; LC 97/1999"
br-forca-aerea-brasileira;br-ministerio-da-defesa;integra;"CF/88 art. 142; LC 97/1999"
br-imprensa-nacional;br-casa-civil;integra;Lei 14.600/2023 art. 3º
br-casa-civil;br-iti;supervisiona;"DL 200/1967 arts. 19-20; MP 2.200-2/2001"
br-ministerio-das-relacoes-exteriores;br-funag;supervisiona;"DL 200/1967 arts. 19-20; Lei 5.717/1971"
br-mesa-da-camara-dos-deputados;br-camara-dos-deputados;integra;"CF/88 art. 57 §4º; RICD arts. 14-15"
br-mesa-do-senado-federal;br-senado-federal;integra;"CF/88 art. 57 §§4º-5º; RISF arts. 46-48"
br-comissao-de-constituicao-e-justica-e-de-cidadania-da-camara;br-camara-dos-deputados;integra;RICD art. 32 IV
br-comissao-de-financas-e-tributacao-da-camara;br-camara-dos-deputados;integra;RICD art. 32 X
br-comissao-de-constituicao-justica-e-cidadania-do-senado;br-senado-federal;integra;RISF art. 101
br-comissao-de-assuntos-economicos-do-senado;br-senado-federal;integra;RISF art. 99
br-comissao-de-relacoes-exteriores-e-defesa-nacional-do-senado;br-senado-federal;integra;"RISF art. 103; CF/88 art. 52 IV"
br-comissao-de-infraestrutura-do-senado;br-senado-federal;integra;RISF art. 104
br-comissao-mista-de-orcamento;br-congresso-nacional;integra;"CF/88 art. 166 §1º; Resolução CN 1/2006"
br-ministerio-publico-federal;br-ministerio-publico-da-uniao;integra;LC 75/1993 arts. 37-82
br-ministerio-publico-do-trabalho;br-ministerio-publico-da-uniao;integra;LC 75/1993 arts. 83-115
br-ministerio-publico-militar;br-ministerio-publico-da-uniao;integra;LC 75/1993 arts. 116-148
br-ministerio-publico-do-distrito-federal-e-territorios;br-ministerio-publico-da-uniao;integra;LC 75/1993 arts. 149-181
br-procuradoria-geral-da-uniao;br-advocacia-geral-da-uniao;integra;LC 73/1993 arts. 2º e 9º
br-procuradoria-geral-federal;br-advocacia-geral-da-uniao;integra;Lei 10.480/2002 arts. 9º-10
br-procuradoria-geral-da-fazenda-nacional;br-advocacia-geral-da-uniao;integra;LC 73/1993 arts. 12-13
br-conselho-da-justica-federal;br-superior-tribunal-de-justica;integra;"CF/88 art. 105, parágrafo único, II; Lei 11.798/2008"
br-conselho-superior-da-justica-do-trabalho;br-tribunal-superior-do-trabalho;integra;CF/88 art. 111-A §2º II
br-tribunal-regional-federal-da-1a-regiao;br-superior-tribunal-de-justica;integra;"CF/88 arts. 107-108; Lei 7.727/1989"
br-tribunal-regional-federal-da-2a-regiao;br-superior-tribunal-de-justica;integra;"CF/88 arts. 107-108; Lei 7.727/1989"
br-tribunal-regional-federal-da-3a-regiao;br-superior-tribunal-de-justica;integra;"CF/88 arts. 107-108; Lei 7.727/1989"
br-tribunal-regional-federal-da-4a-regiao;br-superior-tribunal-de-justica;integra;"CF/88 arts. 107-108; Lei 7.727/1989"
