data;tipo;pessoa;cargo_id;cargo;interino;fonte
2026-08-28;designacao;Maria Fernanda Mascarenhas Dos Santos Melis;br-secretaria-nacional-de-politicas-de-turismo-secretario;Secretário Nacional de Políticas de Turismo do Ministério do Turismo;não;https://www.in.gov.br/web/dou/-/portaria-de-pessoal-gm/mtur-n-27-de-26-de-agosto-de-2026-728533730
2026-07-31;nomeacao;Paulo Tiago Almeida Miranda;br-secretaria-executiva-turismo-secretario;Secretário-Executivo do Ministério do Turismo;não;https://www.in.gov.br/web/dou/-/portarias-de-30-de-julho-de-2026-722478706
2026-07-22;nomeacao;Samara Mariana de Castro;br-secretaria-executiva-secom-pr-secretario;Secretária-Executiva da Secretaria de Comunicação Social da Presidência da República;não;https://www.in.gov.br/web/dou/-/decretos-de-21-de-julho-de-2026-720580698
2026-07-03;posse;Leandro de Sousa Mendes;br-ancine-diretor;Diretor da Ancine;sim;https://www.gov.br/ancine/pt-br/assuntos/diretoria-colegiada/diretores
2026-06-30;nomeacao;Thairyne Jéssica Martins de Oliveira;br-secretaria-executiva-portos-e-aeroportos-secretario;Secretária-Executiva do Ministério de Portos e Aeroportos;não;https://www.in.gov.br/web/dou/-/decreto-de-29-de-junho-de-2026-715452741
2026-06-29;nomeacao;Daniel Vieira Sarapu;br-secretaria-nacional-de-transicao-energetica-e-planejamento-secretario;Secretária Nacional de Transição Energética e Planejamento do Ministério de Minas e Energia;não;https://www.in.gov.br/web/dou/-/portarias-de-26-de-junho-de-2026-715197130
2026-06-29;nomeacao;Mariana de Assis Espécie;br-secretaria-nacional-de-transicao-energetica-e-planejamento-secretario;Secretária Nacional de Transição Energética e Planejamento do Ministério de Minas e Energia;não;https://www.in.gov.br/web/dou/-/portarias-de-26-de-junho-de-2026-715197130
2026-06-25;posse;André Luiz de Almeida Mendonça;br-tribunal-superior-eleitoral-ministro;Ministro do Tribunal Superior Eleitoral;não;https://www.tse.jus.br/institucional/ministros
2026-06-16;posse;Igor Muniz;br-diretor-da-cvm;Diretor da CVM;não;https://www.gov.br/cvm/pt-br/composicao/colegiado
2026-06-09;posse;José Antonio Dias Toffoli;br-tribunal-superior-eleitoral-ministro;Ministro do Tribunal Superior Eleitoral;não;https://www.tse.jus.br/institucional/ministros
2026-06-05;posse;Otto Eduardo Fonseca de Albuquerque Lobo;br-presidente-da-cvm;Presidente da CVM;não;https://www.gov.br/cvm/pt-br/composicao/colegiado
2026-06-03;posse;Luiz Paniago Neves;br-anm-diretor;Diretor da ANM;sim;https://www.gov.br/anm/pt-br/acesso-a-informacao/institucional/quem-e-quem/diretores
2026-06-03;posse;Fábio Fernando Borges;br-anm-diretor;Diretor da ANM;sim;https://www.gov.br/anm/pt-br/acesso-a-informacao/institucional/quem-e-quem/diretores
2026-05-28;nomeacao;Vitor Emanuel Marchetti Ferraz Junior;br-secretaria-especial-de-assuntos-parlamentares-secretario;Secretário Especial de Assuntos Parlamentares da Secretaria de Relações Institucionais da Presidência da República;não;https://www.in.gov.br/web/dou/-/portarias-de-27-de-maio-de-2026-708793411
2026-05-20;sabatina;Otto Eduardo Fonseca de Albuquerque Lobo;br-presidente-da-cvm;Presidente da CVM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172400
2026-05-20;sabatina;Igor Muniz;br-diretor-da-cvm;Diretor da CVM;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172407
2026-05-20;sabatina;Paulo Roberto Soares Pacheco;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173684
2026-05-20;sabatina;Olyntho Vieira;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173685
2026-05-20;sabatina;Marcelo Paz Saraiva Câmara;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173680
2026-05-20;sabatina;Fabio Vaz Pitaluga;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173688
2026-05-20;sabatina;João Batista do Nascimento Magalhães;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173679
2026-05-20;sabatina;Ricardo André Vieira Diniz;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173686
2026-05-07;posse;Margareth Rodrigues Costa;br-tribunal-superior-do-trabalho-ministro;Ministro do Tribunal Superior do Trabalho;não;https://pt.wikipedia.org/wiki/Tribunal_Superior_do_Trabalho
2026-04-29;sabatina;Jorge Rodrigo Araújo Messias;br-supremo-tribunal-federal-ministro;Ministro do Supremo Tribunal Federal;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173452
2026-04-29;sabatina;Margareth Rodrigues Costa;br-tribunal-superior-do-trabalho-ministro;Ministro do Tribunal Superior do Trabalho;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173453
2026-04-29;sabatina;Tarcijany Linhares Aguiar Machado;br-defensor-publico-geral-federal;Defensor Público-Geral Federal;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/173586
2026-04-28;sabatina;Laudemar Gonçalves de Aguiar Neto;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170896
2026-04-28;sabatina;Claudio Raja Gabaglia Lins;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/171091
2026-04-28;sabatina;Ricardo Primo Portugal;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172060
2026-04-15;sabatina;Eduardo Botelho Barbosa;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169937
2026-04-15;sabatina;Luiz Cesar Gasser;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170534
2026-04-15;sabatina;João de Mendonça Lima Neto;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170531
2026-04-15;sabatina;Alfredo Cesar Martinho Leoni;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170897
2026-04-15;sabatina;Jorge Geraldo Kadri;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/171702
2026-04-15;sabatina;João Alfredo Dos Anjos Junior;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172059
2026-04-14;sabatina;Haroldo de Macedo Ribeiro;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170530
2026-04-14;sabatina;André Odenbreit Carvalho;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170532
2026-04-14;sabatina;Pedro Murilo Ortega Terra;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172058
2026-04-14;sabatina;Alexandre Peña Ghisleni;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/172569
2026-04-08;sabatina;Manuel Adalberto Carlos Montenegro Lopes da Cruz;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169690
2026-04-08;sabatina;Luís Ivaldo Villafañe Gomes Santos;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169727
2026-04-08;sabatina;Márcia Donner Abreu;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169935
2026-04-08;sabatina;Pedro de Castro da Cunha e Menezes;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/169936
2026-04-08;sabatina;Fernando Meirelles de Azevedo Pimentel;br-ministerio-das-relacoes-exteriores;Ministério das Relações Exteriores;não;https://www25.senado.leg.br/web/atividade/materias/-/materia/170533
2026-01-01;posse;Benedito Gonçalves;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Kátia Magalhães Arruda;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Jaceguara Dantas da Silva;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
2026-01-01;posse;Fábio Francisco Esteves;br-conselheiro-do-cnj;Conselheiro do Conselho Nacional de Justiça;não;https://pt.wikipedia.org/wiki/Conselho_Nacional_de_Justi%C3%A7a
