id;tipo;subtipo;setor;anel;nome;pai;cite;official_url
br-eleitorado;constituency;;;0;Povo brasileiro;;"CF/88 art. 1º, parágrafo único; art. 14";https://www.tse.jus.br/
br-presidente-da-republica;elected;chefia_executivo;executivo;1;Presidente da República;;CF/88 arts. 76, 77, 84;https://www.gov.br/planalto/
br-vice-presidente-da-republica;elected;chefia_executivo;executivo;1;Vice-Presidente da República;;CF/88 arts. 77 §1º, 79, 89 I, 91 I;https://www.gov.br/planalto/pt-br/vice-presidencia
br-congresso-nacional;elected;casa_legislativa;legislativo;1;Congresso Nacional;;CF/88 arts. 44, 48, 49, 70;https://www.congressonacional.leg.br/
br-camara-dos-deputados;elected;casa_legislativa;legislativo;2;Câmara dos Deputados;br-congresso-nacional;CF/88 arts. 45, 51;https://www.camara.leg.br/
br-senado-federal;elected;casa_legislativa;legislativo;2;Senado Federal;br-congresso-nacional;CF/88 arts. 46, 52;https://www.senado.leg.br/
br-presidencia-da-republica;department;orgao_presidencia;executivo;1;Presidência da República;;Lei 14.600/2023 arts. 2º a 6º;https://www.gov.br/planalto/
br-casa-civil;department;orgao_presidencia;executivo;2;Casa Civil da Presidência da República;br-presidencia-da-republica;Lei 14.600/2023 art. 3º;https://www.gov.br/casacivil/
br-secretaria-geral-da-presidencia;department;orgao_presidencia;executivo;2;Secretaria-Geral da Presidência da República;br-presidencia-da-republica;Lei 14.600/2023 art. 4º;https://www.gov.br/secretariageral/
br-secretaria-de-relacoes-institucionais;department;orgao_presidencia;executivo;2;Secretaria de Relações Institucionais da Presidência da República;br-presidencia-da-republica;Lei 14.600/2023 art. 5º;https://www.gov.br/secretariadegoverno/
br-secretaria-de-comunicacao-social;department;orgao_presidencia;executivo;2;Secretaria de Comunicação Social da Presidência da República;br-presidencia-da-republica;Lei 14.600/2023 art. 6º;https://www.gov.br/secom/
br-gabinete-de-seguranca-institucional;department;orgao_presidencia;executivo;2;Gabinete de Segurança Institucional da Presidência da República;br-presidencia-da-republica;Lei 14.600/2023 art. 8º;https://www.gov.br/gsi/
br-agencia-brasileira-de-inteligencia;department;orgao_singular;executivo;3;Agência Brasileira de Inteligência;br-gabinete-de-seguranca-institucional;Lei 9.883/1999;https://www.gov.br/abin/
br-controladoria-geral-da-uniao;department;ministerio;executivo;2;Controladoria-Geral da União;br-presidencia-da-republica;Lei 14.600/2023 art. 9º e arts. 46-47;https://www.gov.br/cgu/
br-conselho-da-republica;advisory;;executivo;3;Conselho da República;br-presidencia-da-republica;"CF/88 arts. 89-90; Lei 8.041/1990";
br-conselho-de-defesa-nacional;advisory;;executivo;3;Conselho de Defesa Nacional;br-presidencia-da-republica;"CF/88 art. 91; Lei 8.183/1991";
br-conselho-de-desenvolvimento-economico-social-sustentavel;advisory;;executivo;4;Conselho de Desenvolvimento Econômico Social Sustentável;br-secretaria-geral-da-presidencia;"Lei 14.600/2023 art. 2º; Decreto 11.372/2023";
br-conselho-de-governo;advisory;;executivo;3;Conselho de Governo;br-presidencia-da-republica;Lei 14.600/2023 art. 2º, §1º e art. 11;
br-ministerio-da-agricultura-e-pecuaria;department;ministerio;executivo;2;Ministério da Agricultura e Pecuária;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/agricultura/
br-ministerio-das-cidades;department;ministerio;executivo;2;Ministério das Cidades;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/cidades/
br-ministerio-da-ciencia-tecnologia-e-inovacao;department;ministerio;executivo;2;Ministério da Ciência, Tecnologia e Inovação;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mcti/
br-ministerio-das-comunicacoes;department;ministerio;executivo;2;Ministério das Comunicações;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mcom/
br-ministerio-da-cultura;department;ministerio;executivo;2;Ministério da Cultura;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/cultura/
br-ministerio-da-defesa;department;ministerio;executivo;2;Ministério da Defesa;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/defesa/
br-ministerio-do-desenvolvimento-agrario;department;ministerio;executivo;2;Ministério do Desenvolvimento Agrário e Agricultura Familiar;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mda/
br-ministerio-do-desenvolvimento-social;department;ministerio;executivo;2;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mds/
br-ministerio-do-desenvolvimento-industria-comercio-e-servicos;department;ministerio;executivo;2;Ministério do Desenvolvimento, Indústria, Comércio e Serviços;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mdic/
br-ministerio-dos-direitos-humanos-e-da-cidadania;department;ministerio;executivo;2;Ministério dos Direitos Humanos e da Cidadania;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/direitoshumanos/
br-ministerio-da-educacao;department;ministerio;executivo;2;Ministério da Educação;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/mec/
br-ministerio-do-empreendedorismo;department;ministerio;executivo;2;Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte;br-presidencia-da-republica;Lei 14.600/2023 art. 19;https://www.gov.br/empreendedor/
