cargo_id;cargo;pessoa_id;pessoa;papel;desde;modo_entrada;quem_nomeou;fim_mandato;interino;fonte
br-presidente-da-republica;Presidente da República;br-p-luiz-inacio-lula-da-silva;Luiz Inácio Lula da Silva;;2023-01-01;eleito;Povo brasileiro;2026-12-31;não;https://www.gov.br/planalto/pt-br/conheca-a-presidencia/presidente
br-vice-presidente-da-republica;Vice-Presidente da República;br-p-geraldo-alckmin;Geraldo Alckmin;;2023-01-01;eleito;Povo brasileiro;2026-12-31;não;https://www.gov.br/planalto/pt-br/conheca-a-presidencia/vice-presidente
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-160674;Hugo Motta;Presidente;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/160674
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-178937;Altineu Côrtes;1º Vice-Presidente;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/178937
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-178854;Elmar Nascimento;2º Vice-Presidente;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/178854
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-204426;Carlos Veras;1º Secretário;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/204426
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-220669;Lula da Fonte;2º Secretário;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/220669
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-220561;Delegada Katarina;3º Secretário;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/220561
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-178933;Sergio Souza;4º Secretário;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/178933
br-mesa-da-camara-dos-deputados;Mesa Diretora da Câmara dos Deputados;br-p-cd-160674;Hugo Motta;Titular;2025-02-01;eleito;;;não;https://dadosabertos.camara.leg.br/api/v2/deputados/160674
