id;nome;partido;uf;cargos
br-p-luiz-inacio-lula-da-silva;Luiz Inácio Lula da Silva;;;Presidente da República
br-p-geraldo-alckmin;Geraldo Alckmin;;;Vice-Presidente da República
br-p-cd-160674;Hugo Motta;REPUBLIC;PB;Presidente da Câmara dos Deputados | Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-178937;Altineu Côrtes;PL;RJ;Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-178854;Elmar Nascimento;UNIÃO;BA;Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-204426;Carlos Veras;PT;PE;Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-220669;Lula da Fonte;PP;PE;Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-220561;Delegada Katarina;PSD;SE;Deputado Federal | Mesa Diretora da Câmara dos Deputados
br-p-cd-178933;Sergio Souza;MDB;PR;Deputado Federal | Mesa Diretora da Câmara dos Deputados | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-sf-3830;Davi Alcolumbre;UNIÃO;AP;Presidente do Senado Federal | Senador da República | Mesa do Senado Federal
br-p-sf-3777;Eduardo Gomes;PL;TO;Senador da República | Mesa do Senado Federal | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Comunicação e Direito Digital do Senado | Comissão de Desenvolvimento Regional e Turismo do Senado | Comissão de Constituição, Justiça e Cidadania do Senado | Comissão de Assuntos Econômicos do Senado | Comissão de Esporte do Senado | Comissão de Meio Ambiente do Senado
br-p-sf-5008;Humberto Costa;PT;PE;Senador da República | Mesa do Senado Federal | Comissão de Relações Exteriores e Defesa Nacional do Senado | Comissão de Assuntos Sociais do Senado | Comissão de Defesa da Democracia do Senado | Comissão de Direitos Humanos e Legislação Participativa do Senado | Comissão de Constituição, Justiça e Cidadania do Senado | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Educação e Cultura do Senado
br-p-sf-5998;Daniella Ribeiro;PP;PB;Senador da República | Mesa do Senado Federal | Comissão de Assuntos Sociais do Senado | Comissão de Comunicação e Direito Digital do Senado | Comissão de Ciência, Tecnologia, Inovação e Informática do Senado | Comissão de Assuntos Econômicos do Senado | Comissão de Educação e Cultura do Senado
br-p-sf-475;Confúcio Moura;MDB;RO;Senador da República | Mesa do Senado Federal | Comissão de Ciência, Tecnologia, Inovação e Informática do Senado | Comissão de Educação e Cultura do Senado | Comissão de Esporte do Senado | Comissão de Meio Ambiente do Senado | Comissão de Agricultura e Reforma Agrária do Senado | Comissão de Serviços de Infraestrutura do Senado
br-p-sf-6358;Ana Paula Lobato;PSB;MA;Mesa do Senado Federal
br-p-sf-4811;Laércio Oliveira;PP;SE;Senador da República | Comissão de Assuntos Econômicos do Senado | Mesa do Senado Federal | Comissão de Constituição, Justiça e Cidadania do Senado | Comissão de Serviços de Infraestrutura do Senado | Comissão de Desenvolvimento Regional e Turismo do Senado | Comissão de Educação e Cultura do Senado | Comissão de Relações Exteriores e Defesa Nacional do Senado | Comissão de Direitos Humanos e Legislação Participativa do Senado | Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor do Senado
br-p-cd-92102;Leur Lomanto Júnior;UNIÃO;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão do Esporte da Câmara
br-p-cd-141531;Rodrigo de Castro;UNIÃO;MG;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Minas e Energia da Câmara
br-p-cd-66385;Julio Arcoverde;PP;PI;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Desenvolvimento Urbano da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara | Comissão de Turismo da Câmara
br-p-cd-209787;Nikolas Ferreira;PL;MG;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Educação da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara
br-p-cd-178860;Paulo Azi;UNIÃO;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Cultura da Câmara
br-p-cd-204572;Capitão Alberto Neto;PL;AM;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara | Comissão de Educação da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara
br-p-cd-74075;Elcione Barbalho;MDB;PA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão da Amazônia e dos Povos Originários e Tradicionais da Câmara
br-p-cd-74574;Paulo Magalhães;PSD;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Comunicação da Câmara | Comissão de Minas e Energia da Câmara
br-p-cd-160666;Félix Mendonça Júnior;PDT;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-143632;Domingos Neto;PSD;CE;Deputado Federal | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara
br-p-cd-160527;Aguinaldo Ribeiro;PP;PB;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara
br-p-cd-178972;Alex Manente;CIDADANIA;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara
br-p-cd-178881;Aluisio Mendes;REPUBLIC;MA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara
br-p-cd-139285;Lídice da Mata;PSB;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Cultura da Câmara | Comissão de Educação da Câmara
br-p-cd-91228;Waldemar Oliveira;AVANTE;PE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Administração e Serviço Público da Câmara
br-p-cd-220588;Roberto Duarte;REPUBLIC;AC;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-220599;Marcelo Crivella;REPUBLIC;RJ;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara
br-p-cd-220543;Ricardo Ayres;REPUBLIC;TO;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Viação e Transportes da Câmara
br-p-cd-74160;Patrus Ananias;PT;MG;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Educação da Câmara
br-p-cd-74041;Luiz Couto;PT;PB;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Defesa dos Direitos da Pessoa Idosa da Câmara
br-p-cd-74398;Maria do Rosário;PT;RS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Ciência, Tecnologia e Inovação da Câmara | Comissão de Educação da Câmara | Comissão de Defesa dos Direitos da Pessoa Idosa da Câmara
br-p-cd-178987;Orlando Silva;PCdoB;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara
br-p-cd-178908;Delegado Éder Mauro;PL;PA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara
br-p-cd-178887;Rubens Pereira Júnior;PT;MA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-73801;Renildo Calheiros;PCdoB;PE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão do Esporte da Câmara
br-p-cd-204374;Bia Kicis;PL;DF;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara | Comissão de Cultura da Câmara | Comissão de Desenvolvimento Econômico da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara
br-p-cd-204460;Carlos Jordy;PL;RJ;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara | Comissão de Minas e Energia da Câmara
br-p-cd-178873;Helder Salomão;PT;ES;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Desenvolvimento Econômico da Câmara
br-p-cd-220555;Daiana Santos;PCdoB;RS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Ciência, Tecnologia e Inovação da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Trabalho da Câmara
br-p-cd-153423;Renilce Nicodemos;MDB;PA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Integração Nacional e Desenvolvimento Regional da Câmara
br-p-cd-220558;Zé Trovão;PL;SC;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Viação e Transportes da Câmara
br-p-cd-160601;Pr. Marco Feliciano;PL;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Educação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-74454;Eunício Oliveira;MDB;CE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-178835;Afonso Motta;PDT;RS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-160600;Arthur Oliveira Maia;UNIÃO;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Trabalho da Câmara
br-p-cd-204472;José Medeiros;PL;MT;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-178934;Toninho Wandscheer;PP;PR;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Desenvolvimento Urbano da Câmara
br-p-cd-220546;Rodolfo Nogueira;PL;MS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara
br-p-cd-160758;Domingos Sávio;PL;MG;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-204535;Sâmia Bomfim;PSOL;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Administração e Serviço Público da Câmara | Comissão de Legislação Participativa da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão de Cultura da Câmara | Comissão de Educação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-204501;Alencar Santana;PT;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-204379;Acácio Favacho;MDB;AP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara
br-p-cd-74554;José Rocha;UNIÃO;BA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Educação da Câmara
br-p-cd-220590;Coronel Ulysses;UNIÃO;AC;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão do Esporte da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-204398;Felipe Francischini;PODE;PR;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara
br-p-cd-141488;Paulo Teixeira;PT;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-178905;Fabio Garcia;UNIÃO;MT;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-204404;Lucas Redecker;PSD;RS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-220684;Tião Medeiros;PP;PR;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-178943;Marcos Soares;PSDB;RJ;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Viação e Transportes da Câmara
br-p-cd-204355;da Vitoria;PP;ES;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Viação e Transportes da Câmara
br-p-cd-220637;Marina Silva;REDE;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-66828;Fausto Pinato;UNIÃO;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Ciência, Tecnologia e Inovação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Saúde da Câmara
br-p-cd-204474;Juarez Costa;REPUBLIC;MT;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-220539;Defensor Stélio Dener;UNIÃO;RR;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Cultura da Câmara | Comissão do Esporte da Câmara | Comissão da Amazônia e dos Povos Originários e Tradicionais da Câmara
br-p-cd-157130;Túlio Gadêlha;PSD;PE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Cultura da Câmara | Comissão de Educação da Câmara | Comissão de Trabalho da Câmara
br-p-cd-220576;Alfredo Gaspar;PL;AL;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-220594;Coronel Assis;PL;MT;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara
br-p-cd-220585;Mersinho Lucena;PSD;PB;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Turismo da Câmara | Comissão de Cultura da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara
br-p-cd-220648;Marangoni;PODE;SP;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara
br-p-cd-204566;Marreca Filho;PRD;MA;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização
br-p-cd-72442;Felipe Carreras;PSB;PE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Desenvolvimento Econômico da Câmara | Comissão de Defesa do Consumidor da Câmara | Comissão de Turismo da Câmara
br-p-cd-178963;Covatti Filho;PP;RS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Indústria, Comércio e Serviços da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara
br-p-cd-220547;Marcos Pollon;PL;MS;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Defesa dos Direitos das Pessoas com Deficiência da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara
br-p-cd-141485;Luiz Carlos Busato;UNIÃO;RS;Deputado Federal | Comissão de Desenvolvimento Econômico da Câmara | Comissão de Viação e Transportes da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-220573;Dorinaldo Malafaia;PDT;AP;Deputado Federal | Comissão da Amazônia e dos Povos Originários e Tradicionais da Câmara | Comissão de Saúde da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Desenvolvimento Urbano da Câmara
br-p-cd-220569;Silvye Alves;UNIÃO;GO;Deputado Federal | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara
br-p-cd-220583;Delegado Fabio Costa;PP;AL;Deputado Federal | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão do Esporte da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara
br-p-cd-204367;Daniel Freitas;PL;SC;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Ciência, Tecnologia e Inovação da Câmara | Comissão do Esporte da Câmara
br-p-cd-204427;Fernando Rodolfo;PRD;PE;Deputado Federal | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Comunicação da Câmara
br-p-cd-204531;Guilherme Derrite;PP;SP;Deputado Federal | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-220626;Rafael Simoes;UNIÃO;MG;Deputado Federal | Comissão de Saúde da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara
br-p-cd-73768;Dilceu Sperafico;PP;PR;Deputado Federal | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-74856;Laura Carneiro;PSD;RJ;Deputado Federal | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão do Esporte da Câmara | Comissão de Previdência, Assistência Social, Infância, Adolescência e Família da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara
br-p-cd-160512;Aureo Ribeiro;SOLIDARI;RJ;Deputado Federal | Comissão de Defesa dos Direitos da Pessoa Idosa da Câmara | Comissão de Integração Nacional e Desenvolvimento Regional da Câmara | Comissão de Minas e Energia da Câmara | Comissão de Defesa dos Direitos das Pessoas com Deficiência da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Cultura da Câmara | Comissão de Defesa do Consumidor da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara | Comissão de Saúde da Câmara
br-p-cd-204494;Fred Costa;PRD;MG;Deputado Federal | Comissão de Legislação Participativa da Câmara | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-220658;Luiz Gastão;PSD;CE;Deputado Federal | Comissão de Minas e Energia da Câmara | Comissão de Administração e Serviço Público da Câmara | Comissão de Desenvolvimento Econômico da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Fiscalização Financeira e Controle da Câmara | Comissão de Trabalho da Câmara
br-p-cd-220703;Neto Carletto;AVANTE;BA;Deputado Federal | Comissão de Administração e Serviço Público da Câmara | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão de Viação e Transportes da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-220586;Rafael Brito;MDB;AL;Deputado Federal | Comissão de Educação da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-220618;Sargento Portugal;PODE;RJ;Deputado Federal | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara
br-p-cd-74262;Carlos Sampaio;PSD;SP;Deputado Federal | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Defesa do Consumidor da Câmara
br-p-cd-74057;Alice Portugal;PCdoB;BA;Deputado Federal | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Administração e Serviço Público da Câmara | Comissão de Educação da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Cultura da Câmara | Comissão de Saúde da Câmara
br-p-cd-141450;Hugo Leal;PSD;RJ;Deputado Federal | Comissão Mista de Planos, Orçamentos Públicos e Fiscalização | Comissão do Esporte da Câmara | Comissão de Minas e Energia da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Viação e Transportes da Câmara
br-p-cd-160575;Erika Kokay;PT;DF;Deputado Federal | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Finanças e Tributação da Câmara | Comissão de Administração e Serviço Público da Câmara | Comissão de Cultura da Câmara | Comissão de Legislação Participativa da Câmara | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão de Defesa dos Direitos das Pessoas com Deficiência da Câmara | Comissão de Trabalho da Câmara
br-p-cd-178986;Nilto Tatto;PT;SP;Deputado Federal | Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Defesa do Consumidor da Câmara
br-p-cd-204462;Chris Tonietto;PL;RJ;Deputado Federal | Comissão de Defesa dos Direitos da Mulher da Câmara | Comissão de Previdência, Assistência Social, Infância, Adolescência e Família da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Direitos Humanos, Minorias e Igualdade Racial da Câmara | Comissão de Educação da Câmara
br-p-cd-191923;Flávio Nogueira;PT;PI;Deputado Federal | Comissão de Comunicação da Câmara | Comissão de Relações Exteriores e de Defesa Nacional da Câmara | Comissão de Segurança Pública e Combate ao Crime Organizado da Câmara | Comissão de Viação e Transportes da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Educação da Câmara | Comissão de Saúde da Câmara
br-p-cd-220556;Ana Paula Lima;PT;SC;Deputado Federal | Comissão de Saúde da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Previdência, Assistência Social, Infância, Adolescência e Família da Câmara
br-p-cd-220595;Coronel Fernanda;PL;MT;Deputado Federal | Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Turismo da Câmara
br-p-cd-162067;Kiko Celeguim;PT;SP;Deputado Federal | Comissão de Viação e Transportes da Câmara | Comissão de Constituição e Justiça e de Cidadania da Câmara | Comissão de Defesa do Consumidor da Câmara
