id;nome;viagens;diarias;passagens;total;exterior
br-p-andre-carlos-alves-de-paula-filho;André Carlos Alves de Paula Filho;34;45681,83;346192,92;391874,75;2
br-p-antonio-vladimir-moura-lima;Antonio Vladimir Moura Lima;37;39101,32;209336,87;248438,19;1
br-p-luciana-barbosa-de-oliveira-santos;Luciana Barbosa de Oliveira Santos;36;53172,35;308889,09;362061,44;2
br-p-frederico-de-siqueira-filho;Frederico de Siqueira Filho;31;79267,32;427020,50;506287,82;4
br-p-margareth-menezes-da-purificacao-costa;Margareth Menezes da Purificação Costa;5;3282,95;22242,51;25525,46;0
br-p-jose-mucio-monteiro-filho;José Mucio Monteiro Filho;38;70259,44;99886,06;170145,50;6
br-p-fernanda-machiaveli-morao-de-oliveira;Fernanda Machiaveli Morão de Oliveira;27;34531,39;199033,00;233564,39;1
br-p-jose-wellington-barroso-de-araujo-dias;José Wellington Barroso de Araujo Dias;32;26042,35;265940,77;291983,12;1
br-p-marcio-fernando-elias-rosa;Márcio Fernando Elias Rosa;26;43577,57;245252,40;288829,97;4
br-p-janine-mello-dos-santos;Janine Mello dos Santos;35;36144,63;188905,52;225050,15;2
br-p-leonardo-osvaldo-barchini-rosa;Leonardo Osvaldo Barchini Rosa;35;21805,63;127856,54;149662,17;0
br-p-paulo-henrique-rodrigues-pereira;Paulo Henrique Rodrigues Pereira;12;10143,07;46327,99;56471,06;0
br-p-paulo-henrique-perna-cordeiro;Paulo Henrique Perna Cordeiro;15;21372,31;104218,88;125591,19;0
br-p-dario-carnevalli-durigan;Dario Carnevalli Durigan;14;34158,85;316543,87;350702,72;3
br-p-esther-dweck;Esther Dweck;25;59130,98;389212,32;448343,30;2
br-p-rachel-barros-de-oliveira;Rachel Barros de Oliveira;6;6957,10;34063,20;41020,30;0
br-p-antonio-waldez-goes-da-silva;Antônio Waldez Góes da Silva;33;12317,66;188760,86;201078,52;0
br-p-wellington-cesar-lima-e-silva;Wellington César Lima e Silva;29;16221,17;167480,53;183701,70;0
br-p-joao-paulo-ribeiro-capobianco;João Paulo Ribeiro Capobianco;21;44214,23;199948,69;244162,92;2
br-p-alexandre-silveira-de-oliveira;Alexandre Silveira de Oliveira;23;62314,57;124796,93;187111,50;5
br-p-marcia-helena-carvalho-lopes;Márcia Helena Carvalho Lopes;57;65058,78;506098,82;571157,60;2
br-p-rivetla-edipo-araujo-cruz;Rivetla Edipo Araujo Cruz;13;32557,99;127562,79;160120,78;1
br-p-bruno-moretti;Bruno Moretti;5;9288,20;40872,04;50160,24;0
br-p-luiz-henrique-eloy-amado;Luiz Henrique Eloy Amado;24;67057,60;221528,23;288585,83;0
br-p-wolney-queiroz-maciel;Wolney Queiroz Maciel;31;13489,77;225942,80;239432,57;0
br-p-mauro-luiz-iecker-vieira;Mauro Luiz Iecker Vieira;21;79726,65;257282,24;337008,89;13
br-p-alexandre-rocha-santos-padilha;Alexandre Rocha Santos Padilha;82;88787,57;646357,55;735145,12;3
br-p-luiz-marinho;Luiz Marinho;39;23662,35;141790,70;165453,05;2
